,_c0,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,cluster
0,1,no checking account,18,all credits at this bank paid back duly,car (used),1049,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,good,2
1,2,no checking account,9,all credits at this bank paid back duly,others,2799,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,good,0
2,3,... < 0 DM,12,no credits taken/all credits paid back duly,retraining,841,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good,2
3,4,no checking account,12,all credits at this bank paid back duly,others,2122,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,39,none,for free,2-3,unskilled - resident,3 or more,no,yes,good,0
4,5,no checking account,12,all credits at this bank paid back duly,others,2171,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,38,bank,rent,2-3,unskilled - resident,0 to 2,no,yes,good,0
5,6,no checking account,10,all credits at this bank paid back duly,others,2241,unknown/no savings account,< 1 yr,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,48,none,for free,2-3,unskilled - resident,3 or more,no,yes,good,0
6,7,no checking account,8,all credits at this bank paid back duly,others,3398,unknown/no savings account,4 <= ... < 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,39,none,rent,2-3,unskilled - resident,0 to 2,no,yes,good,0
7,8,no checking account,6,all credits at this bank paid back duly,others,1361,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,40,none,rent,1,unskilled - resident,3 or more,no,yes,good,0
8,9,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1098,unknown/no savings account,unemployed,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,65,none,rent,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,good,0
9,10,... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,3758,100 <= ... <  500 DM,unemployed,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,23,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,good,1
10,11,no checking account,11,all credits at this bank paid back duly,others,3905,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,good,0
11,12,no checking account,30,all credits at this bank paid back duly,car (new),6187,... <  100 DM,4 <= ... < 7 yrs,>= 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,for free,2-3,skilled employee/official,0 to 2,no,no,good,1
12,13,no checking account,6,all credits at this bank paid back duly,furniture/equipment,1957,unknown/no savings account,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
13,14,... < 0 DM,48,existing credits paid back duly till now,business,7582,... <  100 DM,unemployed,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,31,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
14,15,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,1936,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,unskilled - resident,0 to 2,no,no,good,2
15,16,no checking account,6,no credits taken/all credits paid back duly,furniture/equipment,2647,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,44,none,for free,1,skilled employee/official,3 or more,no,no,good,0
16,17,no checking account,11,all credits at this bank paid back duly,others,3939,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,40,none,rent,2-3,unskilled - resident,3 or more,no,no,good,0
17,18,... < 0 DM,18,no credits taken/all credits paid back duly,furniture/equipment,3213,100 <= ... <  500 DM,< 1 yr,>= 35,female : single,none,4 <= ... < 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,good,2
18,19,... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2337,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
19,20,... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,others,7228,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,car or other,39,none,rent,2-3,unskilled - resident,0 to 2,no,no,good,1
20,21,no checking account,6,all credits at this bank paid back duly,others,3676,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,37,none,for free,4-5,skilled employee/official,3 or more,no,no,good,0
21,22,... < 0 DM,12,all credits at this bank paid back duly,others,3124,unknown/no savings account,< 1 yr,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,49,bank,rent,2-3,unskilled - resident,3 or more,no,no,good,0
22,23,... < 0 DM,36,no credits taken/all credits paid back duly,domestic appliances,2384,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,bad,1
23,24,... < 0 DM,12,all credits at this bank paid back duly,radio/television,1424,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
24,25,no checking account,6,all credits at this bank paid back duly,others,4716,... >= 1000 DM,< 1 yr,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,44,none,rent,2-3,unskilled - resident,3 or more,no,no,good,0
25,26,... < 0 DM,11,existing credits paid back duly till now,furniture/equipment,4771,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,51,none,rent,1,skilled employee/official,0 to 2,no,no,good,0
26,27,no checking account,12,no credits taken/all credits paid back duly,car (used),652,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,good,2
27,28,... < 0 DM,9,all credits at this bank paid back duly,furniture/equipment,1154,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,37,none,rent,4-5,unskilled - resident,0 to 2,no,no,good,0
28,29,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,others,3556,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
29,30,0<= ... < 200 DM,42,all credits at this bank paid back duly,car (new),4796,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,56,none,own,1,skilled employee/official,0 to 2,no,no,good,1
30,31,0<= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3017,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
31,32,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,3535,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,1
32,33,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,6614,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
33,34,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,1376,100 <= ... <  500 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
34,35,no checking account,15,no credits taken/all credits paid back duly,others,1721,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good,0
35,36,no checking account,6,all credits at this bank paid back duly,others,860,unknown/no savings account,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,39,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,0
36,37,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,1495,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,38,none,rent,2-3,unskilled - resident,3 or more,no,no,good,0
37,38,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,1934,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,26,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
38,39,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (new),3378,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good,1
39,40,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),3868,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,41,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
40,41,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,996,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
41,42,no checking account,24,no credits taken/all credits paid back duly,business,1755,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,guarantor,>= 7 yrs,unknown / no property,58,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good,0
42,43,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,1028,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,36,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
43,44,... < 0 DM,24,all credits at this bank paid back duly,retraining,2825,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,34,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good,1
44,45,... < 0 DM,18,no credits taken/all credits paid back duly,repairs,1239,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,good,0
45,46,no checking account,18,no credits taken/all credits paid back duly,others,1216,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,23,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,2
46,47,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,retraining,1258,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good,2
47,48,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,repairs,1864,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad,2
48,49,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,1474,... <  100 DM,< 1 yr,< 20,female : single,none,4 <= ... < 7 yrs,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good,2
49,50,no checking account,24,all credits at this bank paid back duly,retraining,1382,... <  100 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,26,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,2
50,51,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,640,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,49,none,rent,1,unskilled - resident,0 to 2,no,no,good,0
51,52,0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,3919,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good,1
